,apir_ticker,const,Market,Value,Size,Momentum,Quality,Classification,Tracking Error
Perennial Value Shares for Income Trust,IOF0078AU,-2.19,48.98,10.32,2.78,-0.02,0.45,Value,4.44%
Dimensional Australian Core Imptn Trust,DFA0036AU,-2.80,76.90,10.27,4.16,-2.62,2.22,Value,2.66%
Vanguard Australian Shares High Yld ETF,VHY,-1.70,51.11,9.97,-0.26,-0.70,1.38,Value,4.03%
Dimensional Australian Value Trust,DFA0101AU,0.82,47.76,9.29,6.33,-2.57,-5.53,Value,5.61%
Dimensional AustralianCoreEquityTrustETF,DACE,-1.75,107.46,9.02,16.46,-2.19,-2.96,Size,3.12%
Dimensional Australian Core Equity Trust,DFA0003AU,-1.74,107.31,9.01,16.44,-2.16,-2.96,Size,3.12%
Lazard Australian Equity I,LAZ0006AU,-0.06,33.05,8.65,3.21,-0.67,-2.35,Value,6.06%
SPDR® MSCI Australia Sel Hi Div Yld ETF,SYI,-2.84,36.58,8.24,0.25,-1.55,3.83,Value,5.12%
Vanguard Australian Shares High Yield,VAN0104AU,-1.96,64.15,7.78,-1.52,0.91,-1.18,Value,3.50%
Prime Value Equity Income B,PVA0022AU,-2.95,50.28,7.61,8.25,1.07,0.84,Size,4.30%
Sandhurst BMF-Sandhurst Ind Share,STL0100AU,-1.85,32.69,7.44,1.23,0.55,0.07,Value,5.93%
Sandhurst IML Industrial Share,STL0101AU,-0.99,32.60,7.42,1.24,0.58,0.10,Value,5.94%
Investors Mutual All Industrials Share,IML0004AU,-0.97,32.87,7.38,1.24,0.41,0.07,Value,5.89%
BetaShares FTSE RAFI Australia 200 ETF,QOZ,-0.51,79.95,7.11,-1.35,-0.17,-5.55,Value,2.76%
Russell Inv High Dividend Aus Shrs ETF,RDV,-3.72,59.49,6.90,-1.47,0.95,-3.23,Value,3.57%
Maple-Brown Abbott Aus Shr Retail,ADV0013AU,-2.28,55.31,6.89,-2.51,-1.86,-5.23,Value,4.12%
Perpetual ESG Australia Share,PER0116AU,1.19,30.03,6.85,5.87,-1.42,1.47,Value,6.67%
Realindex Australian Shares MPS,WFS2157AU,-0.68,63.36,6.73,-1.54,-0.87,-0.56,Value,2.64%
Maple-Brown Abbott Australian Equity,MPL0002AU,-0.02,49.63,6.71,-1.74,-2.74,-3.11,Value,4.41%
Lazard Select Australian Equity I Cl,LAZ0005AU,0.89,21.31,6.71,4.37,-0.13,-3.03,Value,8.30%
First Sentier Aus Share Growth Fund,FSF0076AU,-1.67,42.18,6.62,2.14,-0.10,4.82,Value,4.99%
