,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
TYN0038AU,Tyndall Australian Share Income,0.001,0.9148,0.1723,0.0681,-0.0177,-0.1218,1.1206,38.1852,5.2099,1.6899,-0.8781,-2.1527
BFL0002AU,Bennelong Concentrated Australian Eq,0.0025,1.0563,-0.1546,0.3061,0.1066,0.2443,1.4943,23.0687,-2.4104,3.9111,2.7208,2.2595
BFL0001AU,Bennelong Australian Equities,0.0018,1.0697,-0.1855,0.1888,0.0759,0.1638,1.3747,29.7588,-3.6859,3.0731,2.4685,1.9301
WHT0009AU,Solaris Core Australian Equity Inst,0.0026,1.0079,-0.0632,-0.0534,0.005,-0.0836,5.5232,83.1194,-4.1796,-2.8219,0.4739,-2.9225
ECL0005AU,Ellerston Australian Share Fund,0.0017,0.8537,0.0342,0.2844,-0.0715,0.02,1.0971,21.1955,0.5969,4.0221,-1.9304,0.2019
UGF0001AU,U Ethical Australian Equities Tr - Retl,0.0016,0.8606,-0.0339,0.1077,0.0186,-0.0696,1.9943,39.9164,-1.2729,3.2969,0.9817,-1.3406
PER0546AU,Perpetual WFIA-Vanguard Australian Idx,-0.0001,0.9559,-0.0034,-0.0088,-0.0026,0.014,-0.2833,200.602,-0.4969,-1.0563,-0.5901,1.185
BFL0004AU,Bennelong ex-20 Australian Equities,0.0024,1.005,-0.1804,0.5286,0.1209,0.1263,1.4156,22.2182,-2.7775,6.6732,2.8454,1.1207
MPL0544AU,Maple-Brown Abbott Australian Sust Fut,0.0012,0.9265,0.1271,-0.0501,-0.0074,-0.2397,1.6607,47.4026,4.5433,-1.4665,-0.4004,-4.9214
RFA0064AU,Pendal Australian Long/Short,0.0026,0.9548,-0.0141,-0.0802,-0.0175,-0.0185,5.2386,75.4868,-0.869,-3.9621,-1.5596,-0.6046
