Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Franklin Australian Absolute Ret Bd AETF,FRAR,-8.815094246033603,4.926467739943877,10.349384753459185,2.140707378739843,2.5966866307770986,Domestic Duration,Domestic Credit,0.01835474594760004,116,Franklin Australian Absolute Ret Bd AETF
Elstree Hybrid ETF,EIMX1AU,0.5814545602512671,0.3211376483648611,-0.8467839445280668,1.4046997240466979,1.5278169961069035,Alpha,nan,0.04205315825848463,42,Elstree Hybrid ETF
Daintree Hybrid Opportunities ETF,DHOF,1.5781110495324258,0.47705812734836706,-0.007076333265750064,0.17908209419685053,2.088006927687651,Alpha,nan,0.05428951271579933,54,Daintree Hybrid Opportunities ETF
Betashares Aust Mjr Bnk Hyb Idx ETF,BHYB,-0.4421978394624334,-0.15127958458993868,-0.9974057136248567,1.5373527646106235,1.1969061496951805,Alpha,nan,0.046581935000852594,40,Betashares Aust Mjr Bnk Hyb Idx ETF
iShares Enhanced Cash ETF,ISEC,2.777734741622643,3.4221904097701397,-0.5209426967420395,4.564834955295525,-1.1333961811319833,Cash,nan,0.026692037671010395,86,iShares Enhanced Cash ETF
VanEck Bentham Global Cap Secs Actv ETF,GCAP,-0.6752036235198523,2.103276507674421,0.4872442771582009,-0.324920164165166,2.9656481935697396,Alpha,nan,0.08902784457250092,36,VanEck Bentham Global Cap Secs Actv ETF
VanEck Australian Sbdntd Dbt ETF,SUBD,-2.866421352082523,-0.8736301110541168,-2.387313718258945,13.384917002187168,1.7266100094636048,Domestic FRN,nan,0.04154885542347402,58,VanEck Australian Sbdntd Dbt ETF
iShares Yield Plus ETF,IYLD,0.48711924586905636,5.933746202384915,21.19963963640065,1.634499805599399,1.7490911390119213,Domestic Duration,Domestic Credit,0.019758457584934986,51,iShares Yield Plus ETF
Schroder Absolute Return Income ETF,PAYS,-1.9063729272543104,3.2680552384737163,4.788267250937992,4.931297696980902,1.158592106116103,Domestic FRN,Domestic Duration,0.026304867311241934,57,Schroder Absolute Return Income ETF
BetaShares Aus Inv Grd Corp Bd ETF,CRED,-2.9671743557491386,9.607444467239809,35.93801468149088,0.7009822663472272,1.8587365008602585,Domestic Duration,Domestic Credit,0.043757386172407736,75,BetaShares Aus Inv Grd Corp Bd ETF
BetaShares Active Australian Hybrids ETF,HBRD,-0.2773602839117465,-0.4340390016301704,-0.9752781224613899,5.837124337612502,2.0733145223203673,Domestic FRN,nan,0.03989044042964722,81,BetaShares Active Australian Hybrids ETF
VanEck Australian Fltng Rt ETF,FLOT,-11.451594930029488,0.26991218907706677,0.8774639629705482,90.61391943441785,0.9338647495246271,Domestic FRN,nan,0.025901892589601183,85,VanEck Australian Fltng Rt ETF
BetaShares Aus Bank Sr Fltng Rt Bd ETF,QPON,-4.657051625359609,-2.442109109192403,0.5988901660775668,27.2534816763494,-0.9910939498323332,Domestic FRN,nan,0.025990666478784574,86,BetaShares Aus Bank Sr Fltng Rt Bd ETF
VanEck Australian Corp Bd+ ETF,PLUS,-5.677283647478752,17.82206485123882,62.01559221329767,-0.3975907635161058,3.0410038613627672,Domestic Duration,Domestic Credit,0.020796107146883493,87,VanEck Australian Corp Bd+ ETF
Vanguard Australian Corp Fxd Intr ETF,VACF,-6.889645042890897,23.786967685090847,87.31765622510407,-1.0233788286363565,1.8334431442244876,Domestic Duration,Domestic Credit,0.008788970227080015,99,Vanguard Australian Corp Fxd Intr ETF
iShares Core Global Corp Bd AUDH ETF,IHCB,-1.4886832916678057,0.09901867839604843,12.94661901427593,3.66238777545534,9.743779808988343,Domestic Duration,Domestic FRN,0.04794520162182828,104,iShares Core Global Corp Bd AUDH ETF
Vanguard Intl Credit Secs (Hdg) ETF,VCF,-2.0766359191111676,0.7781190776076646,15.23138132216925,3.6610635837306087,8.834114475784592,Domestic Duration,Domestic FRN,0.039505701070874644,104,Vanguard Intl Credit Secs (Hdg) ETF
Russell Inv Australian Select CorpBd ETF,RCB,-1.4217850076624508,1.844168085778787,13.768200294422918,2.354814314763976,0.2735065985855802,Domestic Duration,nan,0.016240763342977183,149,Russell Inv Australian Select CorpBd ETF
iShares Government Inflation ETF,ILB,-1.719642679919414,0.8496785043593674,20.89124822749222,2.311603291184516,2.6671602144609277,Domestic Duration,nan,0.04500082962757192,149,iShares Government Inflation ETF
BetaShares Australian Composite Bond ETF,OZBD,-2.7270635486958352,4.800052670527926,88.07702429354569,3.072295879428608,3.2315111796712204,Domestic Duration,Domestic Credit,0.04502105743780409,30,BetaShares Australian Composite Bond ETF
Coolabah Active Composite Bond Fund ETF,FIXD,-0.34951243418637423,0.5722848556434345,22.984298130494874,4.01541248933862,2.6686460088261756,Domestic Duration,Domestic FRN,0.03074629509229865,89,Coolabah Active Composite Bond Fund ETF
Janus Henderson Tactical Income Actv ETF,HGI7649AU,0.2864962195783875,1.4265476847812593,5.439303101580572,0.6710660728386149,3.479431735844533,Domestic Duration,nan,0.02399598246895488,49,Janus Henderson Tactical Income Actv ETF
iShares Core Corporate Bond ETF,ICOR,-4.328730152196579,14.865490767734856,62.720043538777986,-0.08592535319985124,2.315610677062076,Domestic Duration,Domestic Credit,0.011475968574561304,51,iShares Core Corporate Bond ETF
BetaShares Australian Government Bd ETF,AGVT,0.8681118817566297,0.5008967608431529,92.64505848260309,-0.2243335541554953,3.8577916144240985,Domestic Duration,nan,0.055812821812674836,61,BetaShares Australian Government Bd ETF
iShares Treasury ETF,IGB,-1.127364751954904,-0.8751003563880315,123.90363618298514,-1.6950206491971682,-1.9647127871299304,Domestic Duration,nan,0.025673584064855287,149,iShares Treasury ETF
BetaShares Western Asset Aus Bd ETF,BNDS,-1.9573201782957108,6.966086120878736,129.23376250599088,-0.23320832111403902,4.681038650154724,Domestic Duration,Domestic Credit,0.02775083657917169,69,BetaShares Western Asset Aus Bd ETF
Vanguard Australian Fixed Interest ETF,VAF,-7.701510541640886,12.813490228062697,422.0763783748014,-1.2929692864464353,1.2688680410649595,Domestic Duration,Domestic Credit,0.01936097722960438,142,Vanguard Australian Fixed Interest ETF
SPDR® S&P/ASX Australian Govt Bd ETF,GOVT,-0.9033191167038925,-1.5735737205383857,151.05106636489646,-0.13283575175312864,2.419909218619903,Domestic Duration,nan,0.02776246523789866,145,SPDR® S&P/ASX Australian Govt Bd ETF
SPDR® S&P/ASX Australian Bond ETF,BOND,-2.2897180987115915,2.476540393386934,143.96904753481095,-0.39781055295098383,2.2030908718992723,Domestic Duration,nan,0.023286122293876815,145,SPDR® S&P/ASX Australian Bond ETF
Vanguard Australian Government Bond ETF,VGB,-6.9324735845980605,1.9318097628266948,932.1184005873098,-3.3490866212815007,-0.4972851475662158,Domestic Duration,nan,0.0234564525083078,148,Vanguard Australian Government Bond ETF
