Fund,Classification
Franklin Australian Absolute Ret Bd AETF,Aussie with some global
Bentham Professional Syndicated Loan,Global
Invesco WS Senior Secured Income,Global
Bentham Wholesale High Yield,Global
Bentham Syndicated Loan,Global
Bentham Professional Syndicated Loan P,Global
Mutual High Yield,Aussie
PIMCO Capital Securities Wholesale,Global
Loomis Sayles Senior Floating Rate Loan,Global
Antipodes Asia Income Fund,Global EM (rebadged Premium Asian Income Fund)
Arculus Preferred Income Fund,Aussie
CFS Daintree Core Income,Aussie with soem global
SGH Enhanced Income Trust,Aussie
Trilogy Enhanced Income fund,Aussie
Franklin Australian Absolute Return Bd M,Aussie with some global
Franklin Australian Absolute Return Bd A,Aussie with some global
