Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Franklin Australian Absolute Ret Bd AETF,FRAR,-4.604217824323694,5.840724827984839,10.35488313503884,1.413521000123131,2.4217504981922775,Domestic Duration,Domestic Credit,0.01835474594760004,116,Franklin Australian Absolute Ret Bd AETF
Elstree Hybrid ETF,EIMX1AU,1.7043531322805616,0.817747629474302,-0.8110380281309345,1.5817647951366343,1.7545861402113843,Alpha,nan,0.04205315825848463,42,Elstree Hybrid ETF
Daintree Hybrid Opportunities ETF,DHOF,2.306200078059497,0.7924139451821339,0.1379097881179789,0.02547179169991179,2.0444620026561147,Alpha,nan,0.05428951271579933,54,Daintree Hybrid Opportunities ETF
Betashares Aust Mjr Bnk Hyb Idx ETF,BHYB,0.4808444543689672,0.24447946395511244,-0.9283514417134605,1.6471348301010813,1.367186593901257,Alpha,nan,0.046581935000852594,40,Betashares Aust Mjr Bnk Hyb Idx ETF
iShares Enhanced Cash ETF,ISEC,9.125662265330101,3.641100496544216,1.1910950051392468,-1.1417134874842174,-0.432212263870764,Cash,nan,0.026692037671010395,86,iShares Enhanced Cash ETF
VanEck Bentham Global Cap Secs Actv ETF,GCAP,-0.2560285197447082,2.2560525138430405,0.554491766898405,-0.2721351909091312,3.0274103570141597,Alpha,nan,0.08902784457250092,36,VanEck Bentham Global Cap Secs Actv ETF
VanEck Australian Sbdntd Dbt ETF,SUBD,-0.17156634171820034,0.2787469607475749,-1.8033516066551332,12.049901964024112,1.4825336246797023,Domestic FRN,nan,0.04154885542347402,58,VanEck Australian Sbdntd Dbt ETF
iShares Yield Plus ETF,IYLD,5.215502730860479,5.730974594997494,13.846762478864893,0.30340478952195554,0.4687834969428809,Domestic Duration,Domestic Credit,0.019758457584934986,51,iShares Yield Plus ETF
Schroder Absolute Return Income ETF,PAYS,1.2243652984574351,4.572987880333902,5.281089873584396,4.150179855302236,0.9369223903460961,Domestic Duration,Domestic Credit,0.026304867311241934,57,Schroder Absolute Return Income ETF
BetaShares Aus Inv Grd Corp Bd ETF,CRED,-0.581216477514644,10.66608213980303,36.742573864035215,0.20785715707245497,1.7800717160098405,Domestic Duration,Domestic Credit,0.043757386172407736,75,BetaShares Aus Inv Grd Corp Bd ETF
BetaShares Active Australian Hybrids ETF,HBRD,1.3496066471190893,0.16774737194609768,-0.7401554114853236,5.548341316682852,2.0300994530769745,Domestic FRN,nan,0.03989044042964722,81,BetaShares Active Australian Hybrids ETF
VanEck Australian Fltng Rt ETF,FLOT,7.7039342731797875,3.271343387782848,1.3617620511273452,7.339729303206916,-0.17139650879088447,Domestic FRN,Domestic Credit,0.025901892589601183,85,VanEck Australian Fltng Rt ETF
BetaShares Aus Bank Sr Fltng Rt Bd ETF,QPON,4.77244632450095,1.3590444625167772,1.3415899350110356,12.730102927595597,-0.7500246655215647,Domestic FRN,nan,0.025990666478784574,86,BetaShares Aus Bank Sr Fltng Rt Bd ETF
VanEck Australian Corp Bd+ ETF,PLUS,0.5356000624599727,19.806113219936996,62.15146581689204,-1.552870186175136,2.8422764777499356,Domestic Duration,Domestic Credit,0.020796107146883493,87,VanEck Australian Corp Bd+ ETF
Vanguard Australian Corp Fxd Intr ETF,VACF,4.515444518191852,23.967997703712467,76.57200507380784,-2.7322879624439116,1.3157061780225325,Domestic Duration,Domestic Credit,0.008788970227080015,99,Vanguard Australian Corp Fxd Intr ETF
iShares Core Global Corp Bd AUDH ETF,IHCB,-0.0898544620512896,0.5410541724514627,12.999758998622108,3.3867403214951284,9.632559350887188,Domestic Duration,Domestic FRN,0.04794520162182828,104,iShares Core Global Corp Bd AUDH ETF
Vanguard Intl Credit Secs (Hdg) ETF,VCF,-0.40306975136064127,1.302857808130777,15.333432163307345,3.3466741289834405,8.749757965868502,Domestic Duration,Domestic FRN,0.039505701070874644,104,Vanguard Intl Credit Secs (Hdg) ETF
Russell Inv Australian Select CorpBd ETF,RCB,1.8635424324035381,2.8818417238481566,14.157999819130215,1.888231063630781,0.1982166896088613,Domestic Duration,Domestic Credit,0.016240763342977183,149,Russell Inv Australian Select CorpBd ETF
iShares Government Inflation ETF,ILB,-0.051902376756110404,1.3979750053009272,21.388769969310125,2.1051221541869967,2.664355415422844,Domestic Duration,nan,0.04500082962757192,149,iShares Government Inflation ETF
BetaShares Australian Composite Bond ETF,OZBD,5.868202922591913,6.962123022579781,89.63510717401108,3.5500577715060864,3.623010598026662,Domestic Duration,Domestic Credit,0.04502105743780409,30,BetaShares Australian Composite Bond ETF
Coolabah Active Composite Bond Fund ETF,FIXD,1.618036916773303,1.2330002778099374,22.152382000854416,3.4622761029574325,2.4936205154217674,Domestic Duration,Domestic FRN,0.03074629509229865,89,Coolabah Active Composite Bond Fund ETF
Janus Henderson Tactical Income Actv ETF,HGI7649AU,1.940948558584559,2.0339489947115497,5.575734712689133,0.7281810878260708,3.3418088830567423,Domestic Duration,nan,0.02399598246895488,49,Janus Henderson Tactical Income Actv ETF
iShares Core Corporate Bond ETF,ICOR,2.3505478037786376,14.223439286373752,50.624171759712695,-0.8572456021739431,1.1429513346926494,Domestic Duration,Domestic Credit,0.011475968574561304,51,iShares Core Corporate Bond ETF
BetaShares Australian Government Bd ETF,AGVT,4.205250751982654,1.9139598742746828,72.03141890053467,-0.9350977726457301,2.762230654342143,Domestic Duration,nan,0.055812821812674836,61,BetaShares Australian Government Bd ETF
iShares Treasury ETF,IGB,8.359098451064988,2.2320402323766295,102.48470289226839,-2.6885448481794065,-1.817061585917055,Domestic Duration,nan,0.025673584064855287,149,iShares Treasury ETF
BetaShares Western Asset Aus Bd ETF,BNDS,4.5818347216623545,6.60745895921508,79.3288664573026,-1.3857118593184965,2.5496564110651074,Domestic Duration,Domestic Credit,0.02775083657917169,69,BetaShares Western Asset Aus Bd ETF
Vanguard Australian Fixed Interest ETF,VAF,11.821482023080325,8.18107077450672,137.7434661345747,-2.407047904968504,-0.02578108533899831,Domestic Duration,Domestic Credit,0.01936097722960438,142,Vanguard Australian Fixed Interest ETF
SPDR® S&P/ASX Australian Govt Bd ETF,GOVT,8.653626046185918,1.6190412866350834,108.04701939639664,-1.2638559335861879,1.3545572634701237,Domestic Duration,nan,0.02776246523789866,145,SPDR® S&P/ASX Australian Govt Bd ETF
SPDR® S&P/ASX Australian Bond ETF,BOND,8.03404826480248,4.574985394844343,102.1462208057714,-1.4928394150780908,1.1733615863570246,Domestic Duration,Domestic Credit,0.023286122293876815,145,SPDR® S&P/ASX Australian Bond ETF
