Fund,APIR Code,const,Global Duration,Global Credit,Global High Yield,Currency,EM Debt,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Daintree Core Income Fund,ECOR,2.4865909277611307,1.3857475536697657,-0.5214128189364853,2.258434447118778,-0.6949929119985444,0.3240978937006909,Alpha,nan,0.03921003079252177,57,Daintree Core Income Fund
BetaShares Sstby Ldrs Dvrs Bd ETF Ccy Hd,GBND,-0.4947512258051527,5.78162468688414,2.51011769178972,0.2594840026222022,-2.057814422792454,-0.017958737794790847,Global Duration,nan,0.038429982786679424,57,BetaShares Sstby Ldrs Dvrs Bd ETF Ccy Hd
VanEck Emerging Income Opps Actv ETF,EBND,1.6254482270690667,-1.0659158824177675,-1.447040086487052,1.4641955280264607,3.791236331917604,5.90365372940302,Alpha,nan,0.09020653940980491,54,VanEck Emerging Income Opps Actv ETF
iShares JP Morgan USD EmMkts Bd AUDH ETF,IHEB,4.064149476318839,-0.8544020082410714,-0.7459836725884995,-0.6923548120011808,20.14993978733558,21.929610265099146,Alpha,nan,0.07176850495270373,104,iShares JP Morgan USD EmMkts Bd AUDH ETF
Global X USD High Yld Bond (Ccy Hdg) ETF,USHY,-2.129407956407646,6.169790934324607,0.994356268411859,5.463446315570699,-2.974336916978138,-2.458160334312867,Global Duration,Global High Yield,0.03702083539815097,25,Global X USD High Yld Bond (Ccy Hdg) ETF
iShares Global High Yield Bond AUDH ETF,IHHY,-0.6190779670996981,4.556340465402783,1.0115441294756597,6.474792058935749,0.21169899497868624,0.301786849310974,Global High Yield,Global Duration,0.05709301965098395,104,iShares Global High Yield Bond AUDH ETF
iShares Global Aggregate Bd ESG AUDH ETF,AESG,0.5959325689959597,3.1372350021911504,2.223695553342807,-0.6366991910115477,-0.1576846614611748,0.361174439886647,Global Duration,nan,0.01816303017773311,24,iShares Global Aggregate Bd ESG AUDH ETF
Global X US Treasury Bond (Ccy Hdg) ETF,USTB,2.0606053606303982,0.2198513479785864,0.5107017334224545,-2.445484872465956,1.9164791054852863,1.3282057199626258,Alpha,nan,0.03625762835478215,25,Global X US Treasury Bond (Ccy Hdg) ETF
BetaShares U.S. Trs Bd 20+Yr ETF Ccy H,GGOV,0.8465880520092463,1.8830599531336552,1.6955672902423098,-3.755966356746347,2.0188325519885884,2.6611707145483807,Alpha,nan,0.11350079062777624,51,BetaShares U.S. Trs Bd 20+Yr ETF Ccy H
Vanguard Etclly Cons Gbl Aggt Bd H ETF,VEFI,1.6668418856744605,6.755448058983196,4.695272026293921,-3.266185488282882,0.43616963036120165,2.198642814896723,Global Duration,Global Credit,0.025573343625706232,71,Vanguard Etclly Cons Gbl Aggt Bd H ETF
