Fund,APIR Code,const,Global Duration,Global Credit,Global High Yield,Currency,EM Debt,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Daintree Core Income Fund,ECOR,0.22179437044729852,1.4049403732856915,-0.5271525815363511,2.4613393070871807,-0.694247612801739,0.3241028882271262,Alpha,nan,0.03921003079252177,57,Daintree Core Income Fund
BetaShares Sstby Ldrs Dvrs Bd ETF Ccy Hd,GBND,-1.68470485439845,5.734384743998885,2.5622705862558974,0.1932162510025893,-2.023432225255091,-0.04086926330317478,Global Duration,nan,0.038429982786679424,57,BetaShares Sstby Ldrs Dvrs Bd ETF Ccy Hd
VanEck Emerging Income Opps Actv ETF,EBND,0.8390102800482899,-1.135454596738566,-1.437294078762718,1.4087107566190318,3.8033382906221638,5.8286015648949405,Alpha,nan,0.09020653940980491,54,VanEck Emerging Income Opps Actv ETF
iShares JP Morgan USD EmMkts Bd AUDH ETF,IHEB,1.215301698561116,-0.9910394528200661,-0.6339398917362616,-0.8423587563592015,20.876448005312664,22.605558247427233,Alpha,nan,0.07176850495270373,104,iShares JP Morgan USD EmMkts Bd AUDH ETF
Global X USD High Yld Bond (Ccy Hdg) ETF,USHY,-3.6930682798775964,6.332129733836451,0.9181811110749324,5.69207228308165,-3.0489546217165127,-2.5080105378528885,Global Duration,Global High Yield,0.03702083539815097,25,Global X USD High Yld Bond (Ccy Hdg) ETF
iShares Global High Yield Bond AUDH ETF,IHHY,-2.092530751614618,4.524399097011438,1.0841487893864425,6.4419465288545394,0.21616594660027466,0.25060772058971437,Global High Yield,Global Duration,0.05709301965098395,104,iShares Global High Yield Bond AUDH ETF
iShares Global Aggregate Bd ESG AUDH ETF,AESG,-1.4767851289792475,3.4143086242763636,2.33572871042606,-0.644681470459043,-0.2416587391526515,0.32202556286273043,Global Duration,nan,0.01816303017773311,24,iShares Global Aggregate Bd ESG AUDH ETF
Global X US Treasury Bond (Ccy Hdg) ETF,USTB,0.9851468337592101,0.16108422135468517,0.4304731604494963,-2.463475823691222,1.9696949220096083,1.378155143943843,Alpha,nan,0.03625762835478215,25,Global X US Treasury Bond (Ccy Hdg) ETF
BetaShares U.S. Trs Bd 20+Yr ETF Ccy H,GGOV,0.39508446734938046,1.8193227032049042,1.6591357809556246,-3.77383197471906,2.032218391530075,2.6237749317535783,Alpha,nan,0.11350079062777624,51,BetaShares U.S. Trs Bd 20+Yr ETF Ccy H
Vanguard Etclly Cons Gbl Aggt Bd H ETF,VEFI,-0.4713551420857618,6.7835469485992475,4.938253327066613,-3.4748669057519703,0.48568018625590215,2.177030956991156,Global Duration,Global Credit,0.025573343625706232,71,Vanguard Etclly Cons Gbl Aggt Bd H ETF
Vanguard Global Aggregate Bd Hdg ETF,VBND,0.18970828264167994,6.71063306034951,5.41062384938563,-4.772106346412169,2.059831291931116,4.001898369705476,Global Duration,Global Credit,0.02406532550945645,82,Vanguard Global Aggregate Bd Hdg ETF
Vanguard Intl Fxd Intr (Hdg) ETF,VIF,1.2757177147234702,5.232406939226487,3.366555231064608,-5.511540723831466,2.2033663067839084,4.750655516021131,Global Duration,Global Credit,0.029162381712763426,104,Vanguard Intl Fxd Intr (Hdg) ETF
GAM Emerging Market Rates AU I,ETL915AU,-1.888989938538345,0.6129778402106406,0.12262891968368599,-0.06096319229110302,0.266358252136929,0.7843858841513854,Alpha,nan,0.04014096449637112,33,GAM Emerging Market Rates AU I
Finisterre EMD Total Return,DAM2311AU,0.45495014974519343,-0.1650778270497037,-1.5253466217260383,2.1322569170222376,2.9902413229965794,3.5921448248534094,Alpha,nan,0.05324387815479731,37,Finisterre EMD Total Return
Colchester Emerging Markets Bond Fund I,ETL365AU,0.15330694460969863,0.9636409557369763,-3.1491917246163763,2.9129343206507783,-0.24901499805706223,3.082139986996261,Global High Yield,nan,0.08978887021464879,80,Colchester Emerging Markets Bond Fund I
Lazard Emerging Markets Total Ret Debt,LAZ23AU,-1.1446629205576133,1.9957711898350943,-1.232481290050608,2.2473150196842098,7.041856014386271,6.9517050456192875,Alpha,nan,0.048475876624907877,137,Lazard Emerging Markets Total Ret Debt
Mercer Emerging Markets Debt,MIN82AU,-1.7164532262662546,2.704112771232973,-1.9708256049014012,3.549016060492399,-0.41182261549697197,4.329557747557521,Global High Yield,Global Duration,0.07970253392510003,149,Mercer Emerging Markets Debt
Bentham Professional Syndicated Loan,CSA48AU,-1.4739657365160934,-0.25757586948028033,-0.1808391550398931,10.426073172620168,-0.1717541955582775,0.7746173383508661,Global High Yield,nan,0.07114280141119851,234,Bentham Professional Syndicated Loan
Invesco WS Senior Secured Income,CNA85AU,-1.3407291857985153,-0.4420871151048033,2.3140865718978976,1.9072600555198982,1.3599278452168584,2.4972665196648967,Alpha,nan,0.052245992799999315,244,Invesco WS Senior Secured Income
Bentham Wholesale High Yield,CSA12AU,-0.8013952869016581,2.922453381067584,-1.0972606687470747,12.650573056632181,2.065690035601866,3.3963957529384077,Global High Yield,Global Duration,0.07032295702920713,244,Bentham Wholesale High Yield
Bentham Syndicated Loan,CSA46AU,-1.4127868762822138,-0.3439473852116058,-0.2691083563510148,10.475635373148593,-0.07008017052380286,0.9508593019033148,Global High Yield,nan,0.07071429270223689,240,Bentham Syndicated Loan
ICG Global Total Credit Australia Fund,PIM8813AU,-1.6529750860118388,-0.0682415830606535,0.709261506545628,1.2253585647799163,1.054225959974174,1.2514900299486706,Alpha,nan,0.05744383842648411,28,ICG Global Total Credit Australia Fund
PineBridge Global High Yield Bond I,PER6444AU,-3.743284940681517,6.378604912214501,2.2978256916658113,6.0269632503335835,-2.353975790960434,-1.5130415460802935,Global Duration,Global High Yield,0.033744259205093524,24,PineBridge Global High Yield Bond I
Apostle Ethical Global Credit,KAM2611AU,-4.341827429808495,5.630969956723422,3.0041831600008586,4.603351813285207,-2.485922385817879,-1.9170870677088319,Global Duration,Global High Yield,0.022433223935065114,24,Apostle Ethical Global Credit
T. Rowe Price Global High Income S,ETL8226AU,-3.329407010004174,6.183644881755839,0.7524220245377905,9.53187599852744,-1.1296398998141806,-0.1749851043017586,Global High Yield,Global Duration,0.048854619885153897,51,T. Rowe Price Global High Income S
