name,Franklin Global Growth A,Aoris International Fund B,Apis Global Long/Short W,Talaria Global Equity,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Zurich Investments Concentrated Glbl Gr,Nanuk New World
2004-12-31,,,,,,,,
2005-12-31,,,,,,,,
2006-12-31,,,,,,,,
2007-12-31,,,,,,,,
2008-12-31,,,,,,,,
2009-12-31,,,,,,,,
2010-12-31,,,,,,,,
2011-12-31,2.85,,1.43,-2.92,,-3.51,,
2012-12-31,-0.24,,2.31,-0.26,,-5.98,,
2013-12-31,-0.82,,2.99,0.69,,-4.31,,
2014-12-31,-2.55,,2.54,0.27,,-3.4,,
2015-12-31,-1.77,,1.79,0.32,5.4,-1.67,,
2016-12-31,-1.38,,-0.35,-2.27,4.25,-3.27,,
2017-12-31,0.39,,-1.59,-3.83,2.88,-4.78,-4.71,5.06
2018-12-31,-0.49,,-2.89,-4.82,1.96,-3.93,-3.53,3.69
2019-12-31,-2.01,1.85,-4.37,-2.73,0.51,-0.41,3.58,1.17
2020-12-31,-1.89,4.96,-4.12,-1.43,1.88,-0.86,2.99,-1.6
2021-12-31,-3.25,-2.56,0.77,-3.21,-0.49,-0.34,0.78,-2.0
2022-12-31,-4.31,-7.13,3.24,-1.35,-0.19,2.07,-2.63,-4.35
2023-12-31,-6.9,-2.48,1.15,3.52,2.72,4.47,-3.88,-3.08
2024-12-31,-3.78,0.65,-1.02,1.23,0.61,3.49,-3.35,-1.2
