,con,modcon,bal,gro,hg
29/02/2008,-0.02779,-0.041813,-0.060588,-0.075421,-0.084881
31/03/2008,-0.006654941,-0.010596053,-0.015720472,-0.018683098,-0.022205855
30/04/2008,0.001914594,-0.000165606,-0.004698024,-0.008767724,-0.009808918
31/05/2008,0.011818034,0.013927967,0.018805824,0.022750876,0.024834626
30/06/2008,5.5157E-05,-0.000108212,-3.19963E-06,0.001918872,0.001827042
31/07/2008,-0.027978363,-0.039519238,-0.055370924,-0.065316371,-0.073902586
31/08/2008,0.000352007,-0.002756236,-0.007076984,-0.012447439,-0.015084467
30/09/2008,0.022709607,0.029634289,0.038162653,0.043892977,0.046897371
31/10/2008,-0.019709544,-0.02455127,-0.034554936,-0.041035002,-0.044878267
30/11/2008,-0.029208445,-0.04121636,-0.057220458,-0.073488742,-0.081720959
31/12/2008,-0.010602522,-0.020805316,-0.032859324,-0.046514546,-0.054124364
31/01/2009,0.000316336,-0.002599321,-0.005312987,-0.008133939,-0.01062668
28/02/2009,-0.01997191,-0.021325851,-0.028234184,-0.028456325,-0.030105992
31/03/2009,-0.043412709,-0.052357053,-0.063483298,-0.06676939,-0.071187073
30/04/2009,0.030118401,0.029323219,0.035902152,0.033465134,0.034398845
31/05/2009,0.040228094,0.04642256,0.054936423,0.057399898,0.059655349
30/06/2009,0.011610615,0.012373518,0.014066934,0.014580067,0.014265281
31/07/2009,0.014196467,0.01275801,0.016000198,0.014881159,0.015025348
31/08/2009,0.046144959,0.050736562,0.060710013,0.060845623,0.063051454
30/09/2009,0.033225252,0.034561932,0.040943985,0.040512361,0.042171974
31/10/2009,0.028017322,0.028489284,0.034737325,0.034116334,0.03464341
30/11/2009,-0.013693048,-0.017490888,-0.02193056,-0.02331464,-0.025784817
31/12/2009,0.010419362,0.012557487,0.015403036,0.016714191,0.017040267
31/01/2010,0.025355108,0.02957255,0.035856076,0.037776477,0.03948035
28/02/2010,-0.024619103,-0.028065209,-0.035607896,-0.036838009,-0.038705432
31/03/2010,0.009603829,0.009877191,0.011590962,0.012220658,0.012284982
30/04/2010,0.030261453,0.03392249,0.041133081,0.042622455,0.044436224
31/05/2010,-0.001294999,-0.000970523,-0.002275335,-0.001433713,-0.001713325
30/06/2010,-0.023738406,-0.023901952,-0.031500954,-0.030664999,-0.031318967
31/07/2010,-0.012315593,-0.01487408,-0.019195296,-0.019645944,-0.021662977
31/08/2010,0.020581646,0.021466464,0.026164757,0.026247543,0.026662826
30/09/2010,-0.002908175,-0.003399366,-0.004872612,-0.004266653,-0.005049172
31/10/2010,0.018842053,0.019989401,0.024648244,0.0253278,0.02570476
30/11/2010,0.01304137,0.015011053,0.017689588,0.018732969,0.019148963
31/12/2010,-0.003872851,-0.003610991,-0.004645969,-0.003783347,-0.004142109
31/01/2011,0.012626357,0.012443275,0.014807206,0.015076537,0.015037164
28/02/2011,0.013247609,0.016380155,0.018587793,0.019626856,0.021652938
31/03/2011,0.009202547,0.009272547,0.011090582,0.011616971,0.012057966
30/04/2011,0.00246321,0.001534932,0.000968219,0.000445075,-0.00079828
31/05/2011,-0.000653369,-0.001122843,-0.001811952,-0.001161047,-0.001419087
30/06/2011,-0.002068596,-0.001217626,-0.00256883,-0.001603628,-0.002432904
31/07/2011,-0.009129847,-0.010943258,-0.014067699,-0.014326588,-0.014913125
31/08/2011,-0.018108897,-0.021097604,-0.027328396,-0.027768966,-0.030836471
30/09/2011,-0.014640623,-0.020038436,-0.025343368,-0.028172721,-0.03013866
31/10/2011,-0.01998264,-0.022168893,-0.02843988,-0.029969849,-0.030369776
30/11/2011,0.029233134,0.03141513,0.038862298,0.040224063,0.041906338
31/12/2011,-0.013076776,-0.013886332,-0.017672875,-0.017448199,-0.017909715
31/01/2012,-0.000453048,0.000430326,0.000130781,0.001101764,0.001304126
29/02/2012,0.024640005,0.027082181,0.032093045,0.033187946,0.033690638
31/03/2012,0.014992284,0.018165164,0.022009652,0.023782551,0.025150075
30/04/2012,0.019784984,0.024361269,0.028745871,0.030470625,0.03288174
31/05/2012,0.006968392,0.006114851,0.006754124,0.006130552,0.005369397
30/06/2012,-0.022784007,-0.025417852,-0.033059479,-0.034036975,-0.036082563
31/07/2012,0.003416039,0.00383802,0.005091329,0.00606627,0.007030929
31/08/2012,0.016525757,0.016045012,0.019980076,0.019300518,0.019519088
30/09/2012,0.01686239,0.019612355,0.023232602,0.024024339,0.025575241
31/10/2012,0.016861632,0.019465265,0.022568062,0.023137359,0.023485898
30/11/2012,0.014411574,0.013810255,0.01584192,0.014781512,0.014567522
31/12/2012,0.005517713,0.006563152,0.007564729,0.008228147,0.008666293
31/01/2013,0.021929186,0.023856129,0.027766715,0.027632933,0.028426261
28/02/2013,0.027751138,0.031115425,0.037944558,0.038688193,0.041098464
31/03/2013,0.026256541,0.028009666,0.034581604,0.03432422,0.03576767
30/04/2013,-0.008229997,-0.007945337,-0.009038802,-0.007477099,-0.00680675
31/05/2013,0.029894312,0.033880402,0.040809913,0.041966273,0.044455707
30/06/2013,-0.002044788,0.004006792,0.003482756,0.006613446,0.008666139
31/07/2013,-0.005957602,-0.005313078,-0.006938154,-0.005799087,-0.003984333
31/08/2013,0.03127722,0.035912382,0.043190282,0.043836248,0.046262206
30/09/2013,0.006194789,0.003681666,0.003759009,0.001675657,0.000958581
31/10/2013,0.011498556,0.011998161,0.014616102,0.014461591,0.014329661
30/11/2013,0.020340038,0.022981126,0.028393864,0.029541498,0.031235921
31/12/2013,0.004805441,0.008837887,0.010260267,0.012233837,0.014557025
31/01/2014,0.010572342,0.013627864,0.016400026,0.0177928,0.019025598
28/02/2014,-0.010217362,-0.011117468,-0.014151257,-0.01388733,-0.015183329
31/03/2014,0.022674005,0.0254689,0.031957831,0.033320959,0.034814208
30/04/2014,-0.004530281,-0.007401454,-0.009145421,-0.010254295,-0.011296386
31/05/2014,0.011931679,0.013015271,0.015002197,0.015121063,0.015494517
30/06/2014,0.008857332,0.011200225,0.013479504,0.014845057,0.01527708
31/07/2014,-0.002503449,-0.001650808,-0.002326833,-0.001370211,-0.001156039
31/08/2014,0.020436774,0.02048603,0.02398422,0.022693218,0.022714835
30/09/2014,0.006033631,0.0078153,0.009584671,0.010797753,0.011236194
31/10/2014,-0.013370372,-0.010745429,-0.013653633,-0.011490031,-0.010541662
30/11/2014,0.01959298,0.020902232,0.025561938,0.026221095,0.026906712
31/12/2014,-3.33177E-05,0.005355217,0.006336044,0.010079773,0.012046845
31/01/2015,0.014191852,0.016034608,0.018809703,0.019402524,0.020646249
28/02/2015,0.028701551,0.033168171,0.038761313,0.039646458,0.040084777
31/03/2015,0.029535751,0.032490805,0.040728626,0.041249061,0.044416388
30/04/2015,0.003321548,0.005190472,0.00635403,0.008054789,0.00909888
31/05/2015,-0.006999989,-0.008326885,-0.011033358,-0.012155998,-0.013601072
30/06/2015,0.006973023,0.009339446,0.011355813,0.012681676,0.013942336
31/07/2015,-0.026305754,-0.028664683,-0.035589847,-0.035287343,-0.036329242
31/08/2015,0.024840308,0.029427473,0.03644717,0.038681031,0.040950431
30/09/2015,-0.03390435,-0.037166948,-0.046361424,-0.046588001,-0.048693639
31/10/2015,-0.013708149,-0.015153402,-0.018855786,-0.018036743,-0.019386447
30/11/2015,0.028422209,0.03511908,0.044067011,0.046819535,0.049869986
31/12/2015,-0.012056342,-0.014219316,-0.016778678,-0.016211311,-0.017252872
31/01/2016,0.006066593,0.004685041,0.005714437,0.005354268,0.004940164
29/02/2016,-0.02304965,-0.026226823,-0.033658365,-0.034943001,-0.038275384
31/03/2016,-0.005538898,-0.006935245,-0.009347022,-0.010588411,-0.012506447
30/04/2016,0.024092773,0.025028428,0.030055248,0.029365826,0.028834679
31/05/2016,0.021005037,0.021832742,0.025541183,0.023973389,0.025355674
30/06/2016,0.0178312,0.023306865,0.02926821,0.033173262,0.036354258
31/07/2016,-0.009892681,-0.012365223,-0.016331906,-0.017560592,-0.020561564
31/08/2016,0.029395725,0.031391525,0.038179627,0.038040604,0.039117376
30/09/2016,0.000651697,0.001231158,0.000391622,2.93E-05,0.000570618
31/10/2016,0.001451611,0.000445064,0.000748922,-0.000224228,-0.00061567
30/11/2016,-0.007873644,-0.009608295,-0.012783782,-0.014018306,-0.014006537
31/12/2016,0.013666456,0.015382275,0.019129868,0.019906114,0.023407007
31/01/2017,0.026858685,0.030017561,0.036185627,0.036713917,0.038922485
28/02/2017,-0.005778036,-0.007194306,-0.008833551,-0.009448483,-0.010623728
31/03/2017,0.01258052,0.014626818,0.018448444,0.019573548,0.020450395
30/04/2017,0.015668898,0.017702142,0.02214069,0.022738324,0.023829649
31/05/2017,0.011391796,0.014910915,0.018088228,0.019982849,0.021569519
30/06/2017,-0.003723338,-0.000660247,-0.000687043,0.001486001,0.001017654
31/07/2017,-0.004502246,-0.006764107,-0.008575521,-0.009207798,-0.010195539
31/08/2017,0.001757739,0.000529844,3.34519E-05,-0.000996012,-0.001434906
30/09/2017,0.005518366,0.006327384,0.007314032,0.007412994,0.006867756
31/10/2017,0.005383446,0.007781953,0.00896665,0.01034381,0.012064985
30/11/2017,0.021835879,0.026000535,0.031822447,0.033580565,0.035683754
31/12/2017,0.010405485,0.013017655,0.015958462,0.017243135,0.017981716
31/01/2018,0.006557989,0.005479099,0.005882136,0.004962113,0.004280575
28/02/2018,0.003132582,0.003971447,0.003452262,0.003563641,0.00389316
31/03/2018,-0.000617482,-0.002603704,-0.004181983,-0.005555256,-0.005587968
30/04/2018,-0.01234564,-0.011916249,-0.015239342,-0.014291995,-0.015795502
31/05/2018,0.016305389,0.018109522,0.022365392,0.022885139,0.023644655
30/06/2018,0.002742857,0.004194866,0.006151475,0.007884096,0.00809289
31/07/2018,0.011604643,0.012525387,0.016049447,0.016485913,0.017217831
31/08/2018,0.009593428,0.011092585,0.013249506,0.01371644,0.014900524
30/09/2018,0.005910317,0.008178272,0.0102327,0.012250781,0.013553728
31/10/2018,0.000238704,0.000746311,0.000248955,0.000162236,0.000639185
30/11/2018,-0.031717552,-0.037722935,-0.046735049,-0.048430211,-0.050729458
31/12/2018,-0.006809693,-0.005578077,-0.006325034,-0.004456451,-0.004069427
31/01/2019,0.000373028,-0.002648609,-0.005248699,-0.008059457,-0.010158227
28/02/2019,0.019241495,0.022785155,0.027916397,0.028916873,0.029101319
31/03/2019,0.029810477,0.033144782,0.040358943,0.039156924,0.041261884
30/04/2019,0.007744343,0.009963972,0.012397715,0.013862301,0.01365377
31/05/2019,0.013967075,0.016079601,0.019174103,0.019146611,0.020527419
30/06/2019,0.00189041,-0.001958252,-0.002698873,-0.005137103,-0.006587435
31/07/2019,0.022061775,0.024813929,0.029449867,0.028547897,0.029470522
31/08/2019,0.011220815,0.011565536,0.013681102,0.013046806,0.013019047
30/09/2019,-0.00478576,-0.002362405,-0.002327605,0.000798952,2.73073E-05
31/10/2019,0.012664482,0.013834859,0.016242772,0.015184101,0.016423532
30/11/2019,-0.001071599,-0.000411428,-0.00098383,-0.000126279,-0.000543575
31/12/2019,0.013358994,0.014490867,0.017276907,0.016573778,0.017555743
31/01/2020,-0.006216148,-0.005473364,-0.006270111,-0.005187064,-0.005059141
29/02/2020,0.019094849,0.021047723,0.026269356,0.026259622,0.026724423
31/03/2020,-0.027457979,-0.027548395,-0.033798356,-0.029983789,-0.030545169
30/04/2020,-0.086410316,-0.087777171,-0.105220737,-0.095073252,-0.096176519
31/05/2020,0.026891832,0.02715062,0.033769383,0.030158716,0.029321288
30/06/2020,0.016903344,0.015499926,0.018583758,0.015271464,0.015094338
31/07/2020,0.011717883,0.01161105,0.013402843,0.012359302,0.012166785
31/08/2020,0.004497545,0.006012712,0.007559206,0.008877057,0.008522509
30/09/2020,0.014249644,0.016754939,0.021061113,0.021557901,0.02434289
31/10/2020,-0.010530428,-0.008401984,-0.009525948,-0.006100933,-0.005307539
30/11/2020,0.006463281,0.004012626,0.003424626,0.00014346,-0.002650957
31/12/2020,0.049655508,0.049678007,0.057347884,0.048861847,0.046739465
31/01/2021,0.006867219,0.006358443,0.006980076,0.005730589,0.00453149
28/02/2021,0.004705282,0.00485045,0.004417182,0.003393092,0.003072537
31/03/2021,0.007666864,0.006885124,0.006637449,0.00361128,0.004445167
30/04/2021,0.015296103,0.018319513,0.022862533,0.02342209,0.025219883
31/05/2021,0.013566787,0.015745904,0.019705034,0.020218067,0.022110874
30/06/2021,0.012727455,0.013006829,0.01465669,0.01281449,0.013008642
31/07/2021,0.010609933,0.013158026,0.01606332,0.01687445,0.019385466
31/08/2021,0.004558527,0.006599559,0.008943408,0.010697716,0.011517054
