,GREIT,GREIT_HEDGED,INFRA,INFRA_HEDGED,AREIT,RFRATE
29/08/2003,0.023332598,,-0.008332612,,-0.018013481,0.004000761
30/09/2003,-0.005327484,,-0.000857593,,-0.027316733,0.00396718
31/10/2003,-0.015378683,,-0.008601067,,0.02179362,0.004080674
28/11/2003,0.012271715,,-0.000895269,,0.024451397,0.003842478
31/12/2003,-0.000782923,,0.031358196,,0.032790092,0.004479946
30/01/2004,0.036867679,,-0.003517093,,0.003025622,0.004573578
27/02/2004,0.019361541,,0.018775693,,0.028506935,0.004410372
31/03/2004,0.053336072,,0.016619597,,0.034756322,0.004773109
30/04/2004,-0.063251596,,-0.000545486,,-0.009047063,0.004486162
31/05/2004,0.057330002,,0.025529402,,0.059279761,0.004727689
30/06/2004,0.047163706,,0.049505347,,0.011926263,0.004515064
30/07/2004,-0.006600654,,-0.000238327,,0.017741747,0.004628787
31/08/2004,0.050391603,,0.01632511,,0.015985373,0.004623113
30/09/2004,-0.024016244,,0.005845268,,0.009922626,0.004455386
29/10/2004,0.018080867,,0.004705271,,0.020375507,0.00456797
30/11/2004,0.027905207,,0.034611189,,0.0311534,0.004459056
31/12/2004,0.031585256,,0.018667247,,0.051992482,0.004566103
31/01/2005,-0.034202229,,0.037245507,,0.00648005,0.004553363
28/02/2005,-0.006376163,,-0.003698745,,-0.025397771,0.003984437
31/03/2005,-0.004042369,,-0.004965116,,-0.013021422,0.004696949
29/04/2005,0.022544145,,-0.012873333,,0.002058431,0.004963358
31/05/2005,0.052872299,,0.036484217,,-0.002753845,0.004847066
30/06/2005,0.031812554,,0.03496689,,0.048055484,0.004633782
29/07/2005,0.053494231,,0.014276087,,0.022461921,0.004796997
31/08/2005,0.001496062,,0.022761269,,0.017211165,0.004783798
30/09/2005,0.002002037,,0.028827529,,0.0003672,0.004560877
31/10/2005,-0.005396385,,-0.029888439,,-0.018670258,0.004774705
30/11/2005,0.045869772,,0.017677095,,0.033546119,0.004633756
30/12/2005,0.053185481,,0.029400584,,0.053010956,0.004726806
31/01/2006,0.032216661,,0.025775711,,-0.011853599,0.004789963
28/02/2006,0.039184476,,0.033394694,,0.035466768,0.004305198
31/03/2006,0.087873814,,0.028837544,,-0.00520036,0.004740061
28/04/2006,-0.062864438,,-0.016947115,,-0.002530953,0.004422017
31/05/2006,-0.027618094,,0.014045968,,-0.013985213,0.004836404
30/06/2006,0.051786919,,0.019164465,,0.063566933,0.004804743
31/07/2006,0.004121689,,-0.009562861,,0.026915509,0.004823342
31/08/2006,0.041839198,,0.035529953,,0.037647308,0.00522602
29/09/2006,0.046273531,,0.031517797,,0.038275581,0.005108747
31/10/2006,0.01679703,,-0.00317546,,0.008706873,0.005064791
30/11/2006,0.031785579,,0.043362902,,0.053026814,0.005157464
29/12/2006,0.028263123,,0.024087789,,0.072655507,0.005336192
