Group/Investment,Combo,Ticker,APIR Code,Hedged,Category,Grouped,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023,28/02/2023,31/03/2023,30/04/2023,31/05/2023,30/06/2023,31/07/2023,31/08/2023,30/09/2023,31/10/2023,30/11/2023,31/12/2023,31/01/2024,29/02/2024,31/03/2024,30/04/2024,31/05/2024,30/06/2024,31/07/2024,31/08/2024,30/09/2024,31/10/2024,30/11/2024,31/12/2024
VanEck Australian Property ETF,MVA,MVA,,0,AREITS,A-REITS-,7.40444,3.76837,-1.74225,-1.26763,2.70305,-3.83958,5.4829,-4.74284,-0.86474,4.91513,-2.54668,4.54785,-0.13349,2.45827,3.05446,2.43675,2.96512,3.5922,5.69025,-2.77124,-3.79597,-7.24415,1.02262,6.77373,-5.01289,4.49057,1.14302,2.79943,-0.49979,-4.97177,0.34184,1.92788,0.3905,2.05051,5.29559,-0.35412,-3.55904,-3.76539,-0.08126,3.86028,3.90322,2.06793,1.5871,3.09139,-0.86042,-2.87156,0.41567,3.14879,7.00469,1.7223,6.63124,-2.70238,3.49062,3.70355,3.05613,1.78868,-3.15372,1.56046,1.2393,-3.76536,7.09418,-5.32662,-35.61161,13.07904,6.99903,-1.31866,-1.1328,8.40692,-1.20265,-1.34636,15.44816,0.21198,-4.01968,-2.56729,6.062,2.98468,1.23681,4.69686,-0.69092,7.07842,-1.5058,0.71217,2.77141,4.13195,-8.73954,2.94189,0.76184,-0.49208,-7.18565,-9.85593,10.752,-3.31773,-11.7787,10.06865,4.54015,-2.90473,6.49585,0.06714,-6.82513,5.908,-2.33467,-0.99711,3.98825,-0.54612,-8.43821,-6.6994,10.84795,10.57635,1.45286,0.73556,7.9106,-8.71842,0.07306,-1.60751,10.04864,2.79379,4.44686,-3.03899,1.47608,-5.97575
VanEck FTSE Glbl Infras(AUD Hdg)ETF,IFRA,IFRA,,Hedged,Infrastructure,Infrastructure-Unhedged,,,,,,,,,,,,,,,,,1.17296,3.70081,2.24567,-2.66901,1.55288,-1.39017,-2.96231,3.36101,0.29505,3.84154,2.67798,1.89781,3.48397,-1.53488,0.91191,2.24791,-2.00804,2.41137,1.96224,-2.22946,-1.56965,-4.70069,1.23876,2.80773,0.26218,2.86843,1.72147,-1.1057,-0.6227,-1.30818,2.72937,-4.09549,6.55422,3.39917,3.33449,1.04909,-0.54987,3.18753,0.19169,1.46803,1.70274,-0.19539,-0.93739,2.70135,3.74767,-8.66385,-15.79261,7.0339,3.99538,-3.13665,1.2797,0.17138,0.07782,-0.71278,6.35823,-0.29145,-2.18955,-0.83988,7.77994,3.29765,-0.55629,-0.34878,2.17007,1.99633,-2.58826,3.08757,-2.34996,6.79122,-2.84588,-0.71802,7.28632,-1.64886,2.0145,-5.27708,4.74861,-1.36227,-11.35949,3.25301,6.09436,-3.11826,2.61682,-3.63905,1.86668,2.42567,-4.71682,1.58044,1.00833,-4.62737,-4.38233,-0.62097,6.88895,2.44574,-2.23243,0.62125,3.64529,-1.80242,5.03406,-2.41704,6.288,3.0779,2.10051,-0.80708,3.93722,-5.28795
Charter Hall Direct Long WALE,MAQ5703AU,41982,MAQ5703AU,0,AREITS,A-REITS-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58142,0.44312,0.56251,0.56251,0.56251,0.56251,0.54251,1.29279,0.41953,0.42012,0.50036,0.47077,1.66787,0.33781,0.43739,0.39833,-0.10655,-0.12722,0.8465,1.23488,0.35505,0.65849,0.95368,0.33105,4.92213,0.40395,0.3154,-4.7457,0.29674,0.32136,2.00884,0.31699,0.35756,0.13046,0.35254,0.42369,5.59313,0.29782,0.49086,0.44435,0.25121,0.32908,7.23555,0.25449,1.04517,0.33487,0.2449,0.30889,5.55631,0.21668,0.43366,0.53763,0.21701,0.16548,5.44559,0.19949,0.16674,0.34202,0.10833,0.21035,0.28557,0.19369,0.07639,-0.57413,0.62402,-5.05679,0.09082,0.24494,-0.20773,-3.40346,1.52947,0.22633,-10.90094,0.33053,0.38456,0.37365,-0.09622,0.34435,-8.32245,0.41196,-0.45002,0.21441,0.41931,-0.31269,
VanEck FTSE Intl Prop (AUD Hdg) ETF,REIT,REIT,,Hedged,GREITS,G-REITS-Hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61204,0.15673,0.32812,1.30343,2.68034,2.79254,1.68716,-1.02366,-0.43876,1.39101,-8.19235,-23.11001,5.68215,0.49388,2.16483,2.06261,1.40829,-2.489,-3.48672,11.32735,2.83233,-0.24459,3.41904,3.93767,6.58323,1.24682,1.88248,4.69935,1.48881,-5.92265,6.09229,-0.99132,6.36443,-6.10754,-2.97113,5.01044,-4.57649,-5.02661,-8.48443,8.01844,-5.98092,-12.42293,3.23866,4.98382,-3.8974,8.53844,-4.10601,-3.91691,1.68446,-3.90811,3.02294,3.16594,-2.90932,-5.89504,-4.52554,9.38651,8.66148,-3.97601,-0.38692,2.80446,-5.59778,3.63962,0.96243,5.56592,5.60067,2.61858,-3.92606,3.01101,-6.82231
SPDR® S&P/ASX 200 Listed Property ETF,SLF,SLF,,0,AREITS,A-REITS-,7.60483,3.67331,-2.10834,-1.12188,3.0239,-4.17669,5.66144,-4.10425,-0.30895,4.91338,-2.91277,3.96927,1.01158,2.80389,2.3436,2.76102,2.60927,3.49356,5.36553,-2.80897,-4.31069,-7.85052,0.80976,6.75343,-4.84252,4.29836,0.56694,2.57338,-1.11385,-4.7736,-0.09929,1.23048,0.47039,2.20934,5.22137,0.20576,-3.3073,-3.31797,0.03132,4.43185,2.99755,2.07537,0.92458,2.66805,-1.79022,-3.14212,-0.47166,1.68517,6.08689,1.72549,6.14572,-2.60716,2.44427,4.22829,2.4941,1.14868,-2.73706,1.20352,2.26973,-4.42963,6.31407,-4.83589,-34.95729,13.6596,6.92511,-1.31147,0.61212,7.83271,-1.52488,-0.38403,13.2096,0.38503,-4.08861,-2.66986,6.49781,2.86578,1.65551,5.46996,0.24622,6.2058,-2.19107,0.37779,4.47358,4.83903,-9.54815,1.37585,1.19347,0.53036,-8.74656,-10.25732,11.8703,-3.56516,-13.52556,9.86589,5.75538,-4.10397,8.05558,-0.27445,-6.77172,5.25733,-1.77003,-0.09421,3.79051,2.20836,-8.55292,-5.86361,10.95531,11.46732,1.27568,5.01537,9.61675,-7.81073,1.88658,0.35657,6.81201,0.52522,6.53113,-2.52748,2.46399,-5.9589
SGH LaSalle Concentrated Global Property,ETL0394AU,40518,ETL0394AU,G-REITS-Unhedged,GREITS,G-REITS-Unhedged,7.58226,-1.8617,1.68978,-3.88776,-0.66873,-4.37276,5.91059,-4.99329,3.33009,5.75312,-0.98618,1.82055,-3.00679,-0.09167,8.09075,-1.92916,1.32977,3.57881,4.19563,-2.61212,-1.0151,-5.86126,-2.2053,4.47799,-1.08944,3.42867,-2.56785,-0.32613,-0.54828,0.74238,0.83548,-0.3642,-0.03655,-1.1427,3.35676,1.61973,-3.83344,-5.5473,3.57108,1.62424,2.40209,4.16053,0.95042,2.58177,-2.6398,-2.10884,4.12985,-6.53065,10.18972,0.36101,3.11751,-0.52773,-0.53053,0.34352,1.48649,0.69241,2.56546,2.63022,0.05863,1.94191,2.53937,-6.71384,-23.32356,5.57554,-0.25554,2.77849,-2.09548,4.41306,-2.17667,-4.77425,17.89927,1.21224,0.02879,5.44949,4.54918,5.50866,2.21049,0.98906,2.78909,2.73869,-2.17356,2.44823,-0.50741,4.67221,-1.49112,-0.20823,3.12199,-1.75111,-2.97845,-4.83974,6.28146,-3.656,-7.58946,1.05319,5.45321,-4.58221,9.3395,-2.02963,-2.98478,1.35614,-4.29356,4.70527,2.64049,-2.77643,-5.66151,-3.61981,9.80672,7.15072,-3.88277,-0.69916,4.72325,-3.21225,4.82393,-1.00617,8.73342,3.95892,2.66824,-5.22247,2.00451,-6.67546
Mercer Passive Australian Listed Prpty,MIN0029AU,16615,MIN0029AU,0,A-REITS,A-REITS-,7.27992,3.64555,-2.04189,-1.0624,2.81365,-4.10536,5.57769,-4.09704,-0.33727,5.01974,-2.94039,3.95295,0.97287,2.77188,2.30998,2.72452,2.861,3.4606,5.27369,-2.80666,-4.06121,-7.98657,0.76893,6.77129,-4.84775,4.12186,0.57782,2.57915,-1.12011,-4.82651,-0.11739,1.24053,-0.38695,3.0817,5.2506,0.38375,-3.47616,-3.22621,0.05169,4.39106,3.03105,2.06425,0.92849,2.65233,-1.24534,-3.67708,-0.48942,1.57383,6.10767,1.7329,6.17761,-2.58824,2.38252,4.16803,2.51182,1.1585,-2.72626,1.19817,2.23412,-4.4894,6.27633,-4.85871,-34.48718,13.82909,6.96275,-1.44328,0.5656,7.83265,-1.65373,-0.45272,13.22765,0.42636,-4.05312,-2.61163,6.40138,2.8223,1.68305,5.48825,0.24625,6.22664,-2.21194,0.39071,4.4449,4.83746,-9.48473,1.30719,1.18626,0.54504,-8.67342,-10.27899,11.7921,-3.56861,-13.61195,9.77027,5.82297,-4.10699,8.08931,-0.27091,-6.76853,5.17179,-1.77768,-0.10846,3.79414,2.19096,-8.55337,-5.76259,10.89433,11.41335,1.2751,5.00472,9.67226,-7.81706,1.94703,0.41556,6.76809,0.47497,6.51818,-2.55185,2.42599,-5.96836
Cromwell Phoenix Property Securities,CRM0008AU,16260,CRM0008AU,0,A-REITS,A-REITS-,4.66353,4.23919,-0.57697,-1.56923,2.08987,-3.47208,4.07194,-2.36387,2.47819,3.55523,-2.03123,3.37622,0.454,1.87916,2.17138,2.50091,3.68951,2.74658,5.05263,-0.88477,-3.95726,-6.64082,0.51522,5.18818,-3.02361,3.83256,1.66419,2.25049,-0.75083,-2.97389,-0.68543,2.30055,0.57473,2.95021,4.41234,1.03843,-3.39378,-2.82754,-0.30386,3.4348,2.44728,1.78733,0.75495,1.82641,-0.91216,-3.18809,-0.64751,0.338,4.92882,0.77635,5.7194,-1.52085,1.49517,2.64061,3.48775,2.57894,-1.89859,0.84009,1.94388,-1.25323,3.70969,-4.51905,-35.18412,11.96044,4.35415,0.35017,-2.11933,6.47512,-0.23308,0.92701,15.09233,2.0474,-4.15766,-1.59639,4.78088,3.10696,3.61436,4.44959,1.57777,6.65252,-1.36438,0.53791,2.43656,4.2311,-7.94507,1.8256,1.72933,-0.63907,-7.17731,-9.70732,9.44746,-0.32277,-10.81036,8.45592,4.14206,-3.40799,7.74137,-0.7542,-7.5666,4.30709,-1.29325,-0.04426,2.7165,-0.85803,-7.9586,-6.43226,10.82949,11.03761,0.95443,1.96746,7.19809,-6.24558,0.5034,-1.12422,7.14902,2.91348,6.19011,-1.80019,1.78017,
Charter Hall Maxim Property Securities,COL0001AU,13289,COL0001AU,0,A-REITS,A-REITS-,5.44923,3.74065,-0.88358,-0.32573,1.91993,-3.58049,4.77173,-3.73444,0.07731,5.57501,-0.76954,4.04975,-0.52138,2.21436,3.05706,1.53827,3.41175,4.01894,5.04922,-1.09139,-3.66696,-5.9783,-0.16258,6.351,-3.81406,4.13879,1.48851,1.38691,-0.58459,-1.83429,0.49469,1.76492,0.98254,2.0514,4.72505,0.87148,-3.3153,-2.64719,0.05462,2.43068,1.19802,3.46674,0.27802,2.94998,0.02154,-2.90261,0.32355,1.69039,3.47965,2.77067,4.17638,-1.39797,1.01999,5.37157,1.53062,0.4847,-1.96483,1.30224,2.92594,-2.56144,5.67842,-3.28064,-31.63416,9.07451,6.80575,0.31678,-0.25231,7.17899,0.68583,0.42539,10.61197,1.02791,-3.14358,-1.67482,6.54888,3.37292,2.14306,5.57603,1.37578,5.80983,-2.10106,0.8165,3.90452,5.32801,-9.21053,0.00863,1.85457,0.44225,-9.50889,-10.16309,11.4166,-1.93754,-13.25096,6.06544,6.11631,-2.62358,6.3588,-1.9014,-6.81387,2.70562,-0.37783,-0.04214,3.34383,2.32167,-8.30595,-5.28031,8.69411,9.8756,1.79322,5.92796,8.50551,-7.51209,2.49284,0.4874,4.84104,1.4042,6.04876,-2.52397,3.01582,-5.44713
iShares Australian Listed Property Index,BGL0108AU,9166,BGL0108AU,0,A-REITS,A-REITS-,7.41175,3.67298,-1.96406,-0.98921,2.71396,-3.8318,5.64876,-4.03201,-0.29904,4.86582,-2.84857,4.0977,0.89684,2.78553,2.48458,2.74698,2.70181,3.51748,5.40988,-2.68606,-4.3122,-7.70403,0.73514,6.70653,-4.71967,4.10739,0.69698,2.54214,-1.00217,-4.52117,-0.16721,1.49089,0.56722,2.35126,5.26438,0.10664,-3.25679,-3.16943,0.09602,4.2551,2.92869,2.2924,0.86226,2.58417,-1.49354,-3.20618,-0.28774,1.7797,5.88619,1.77861,6.10668,-2.40173,2.26714,4.23041,2.48741,1.30007,-2.74216,1.35378,2.24865,-4.24347,6.25445,-4.68996,-35.1056,13.61472,7.03244,-1.23098,0.61306,7.89534,-1.16299,-0.29468,12.83653,0.58814,-4.06359,-2.49969,6.27978,3.06458,1.75828,5.53641,0.45317,6.35191,-1.97675,0.60651,3.93251,5.23028,-9.46626,1.49558,1.42851,0.66297,-8.55325,-10.34972,11.72773,-3.65053,-13.58963,9.85368,5.785,-4.03728,8.03157,-0.36257,-6.85835,5.13324,-1.81967,-0.1076,3.86883,2.13826,-8.65951,-5.70179,10.90396,11.37776,1.19057,4.7341,9.54384,-7.65164,1.89164,0.22274,6.73772,0.54149,6.45588,-2.58189,2.33537,-5.84852
